,Draft_Year,Rk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_PERC,3P_PERC,FT_PERC_per_Game,MP_per_Game,PTS_per_Game,TRB_per_Game,AST_per_Game,WS,WS_per_48,BPM,VORP
852,2010,5.0,SAC,DeMarcus Cousins,University of Kentucky,7,476,15195,10024,5144,1425,0.45899999999999996,0.321,0.736,31.9,21.1,10.8,3.0,36.3,0.115,2.6,17.5
853,2010,6.0,GSW,Ekpe Udoh,Baylor University,5,270,4564,1072,860,179,0.429,0.0,0.72,16.9,4.0,3.2,0.7,5.7,0.06,-1.1,1.0
854,2010,7.0,DET,Greg Monroe,Georgetown University,7,518,15486,7329,4579,1167,0.51,0.0,0.7040000000000001,29.9,14.1,8.8,2.3,44.2,0.13699999999999998,2.1,15.9
855,2010,8.0,LAC,Al-Farouq Aminu,Wake Forest University,7,501,11969,3606,2803,622,0.428,0.32299999999999995,0.731,23.9,7.2,5.6,1.2,16.6,0.067,-0.3,5.1
856,2010,9.0,UTA,Gordon Hayward,Butler University,7,500,15623,7737,2068,1710,0.442,0.364,0.8220000000000001,31.2,15.5,4.1,3.4,41.3,0.127,2.0,15.6
857,2010,10.0,IND,Paul George,"California State University, Fresno",7,429,13980,7556,2671,1354,0.428,0.36700000000000005,0.8490000000000001,32.6,17.6,6.2,3.2,41.4,0.142,3.6,19.8
858,2010,11.0,NOH,Cole Aldrich,University of Kansas,7,311,3293,1025,1105,180,0.531,0.0,0.747,10.6,3.3,3.6,0.6,9.7,0.141,1.3,2.8
859,2010,12.0,MEM,Xavier Henry,University of Kansas,5,185,2905,1050,351,120,0.406,0.325,0.635,15.7,5.7,1.9,0.6,0.8,0.013000000000000001,-5.1,-2.3
860,2010,13.0,TOR,Ed Davis,University of North Carolina,7,481,10036,3278,3062,399,0.562,0.0,0.568,20.9,6.8,6.4,0.8,30.4,0.145,1.1,7.9
861,2010,14.0,HOU,Patrick Patterson,University of Kentucky,7,458,11046,3621,2174,563,0.45899999999999996,0.364,0.742,24.1,7.9,4.7,1.2,23.7,0.10300000000000001,0.7,7.5
862,2010,15.0,MIL,Larry Sanders,Virginia Commonwealth University,5,233,4622,1516,1341,174,0.48,0.0,0.55,19.8,6.5,5.8,0.7,10.3,0.107,0.6,3.1
863,2010,16.0,MIN,Luke Babbitt,"University of Nevada, Reno",7,318,4408,1497,727,183,0.406,0.40700000000000003,0.743,13.9,4.7,2.3,0.6,6.0,0.065,-2.7,-0.8
864,2010,17.0,CHI,Kevin Seraphin,,7,411,6309,2449,1432,243,0.488,0.0,0.713,15.4,6.0,3.5,0.6,5.7,0.043,-3.9,-3.0
865,2010,18.0,OKC,Eric Bledsoe,University of Kentucky,7,415,11216,5436,1572,1909,0.445,0.33299999999999996,0.8009999999999999,27.0,13.1,3.8,4.6,23.8,0.102,2.0,11.3
866,2010,19.0,BOS,Avery Bradley,University of Texas at Austin,7,398,11128,4796,1187,672,0.44299999999999995,0.36700000000000005,0.773,28.0,12.1,3.0,1.7,13.8,0.059000000000000004,-1.4,1.7
867,2010,20.0,SAS,James Anderson,Oklahoma State University,5,247,4320,1422,560,291,0.41100000000000003,0.321,0.755,17.5,5.8,2.3,1.2,3.3,0.037000000000000005,-2.8,-0.9
868,2010,21.0,OKC,Craig Brackins,Iowa State University,2,17,121,30,19,9,0.265,0.214,0.5,7.1,1.8,1.1,0.5,-0.2,-0.08900000000000001,-9.1,-0.2
869,2010,22.0,POR,Elliot Williams,University of Memphis,4,109,1470,537,161,94,0.42100000000000004,0.31,0.669,13.5,4.9,1.5,0.9,0.7,0.024,-5.3,-1.2
870,2010,23.0,MIN,Trevor Booker,Clemson University,7,450,9439,3118,2531,467,0.517,0.292,0.624,21.0,6.9,5.6,1.0,22.8,0.11599999999999999,0.4,5.6
871,2010,24.0,ATL,Damion James,University of Texas at Austin,4,39,623,150,131,26,0.415,0.0,0.667,16.0,3.8,3.4,0.7,0.0,-0.001,-4.3,-0.4
872,2010,25.0,MEM,Dominique Jones,University of South Florida,3,80,741,246,114,144,0.366,0.095,0.7290000000000001,9.3,3.1,1.4,1.8,0.3,0.017,-3.6,-0.3
873,2010,26.0,OKC,Quincy Pondexter,University of Washington,5,279,5042,1466,567,230,0.424,0.365,0.732,18.1,5.3,2.0,0.8,9.1,0.087,-1.0,1.2
874,2010,27.0,NJN,Jordan Crawford,Xavier University,5,258,6368,3151,666,816,0.406,0.307,0.828,24.7,12.2,2.6,3.2,5.3,0.04,-2.2,-0.3
875,2010,28.0,MEM,Greivis Vasquez,University of Maryland,7,401,9520,3591,1021,1935,0.418,0.349,0.8170000000000001,23.7,9.0,2.5,4.8,12.6,0.064,-1.5,1.1
876,2010,29.0,ORL,Daniel Orton,University of Kentucky,3,51,542,143,126,24,0.485,0.0,0.597,10.6,2.8,2.5,0.5,1.0,0.09300000000000001,-1.7,0.0
877,2010,30.0,WAS,Lazar Hayward,Marquette University,3,72,591,207,90,35,0.34700000000000003,0.26899999999999996,0.767,8.2,2.9,1.3,0.5,0.2,0.02,-4.6,-0.4
